name,district,type
"Hindusthan Institute of Technology , Othakkalmandapam Post, Coimb…",COIMBATORE,Self-Financing T3
"P A College of Engineering and Technology , Palladam Road, Pollac…",COIMBATORE,Self-Financing T3
"Dhanalakshmi Srinivasan College of Engineering (CBE) , NH-47, Pal…",COIMBATORE,Self-Financing T3
"Adithya Institute of Technology , S.F.No. 348/1,349/1, Kurumbapal…",COIMBATORE,Self-Financing T3
"Kathir College of Engineering , WISDOM TREE, Avinashi Road, Neela…",COIMBATORE,Self-Financing T3
"Shree Venkateshwara Hi-Tech Engineering College , Erode-Sathy Mai…",ERODE,Self-Financing T3
"Surya Engineering College, Perundurai Road,Manalmedu, Mettukadai,…",ERODE,Self-Financing T3
"Easa College of Engineering and Technology , NH-47, Palakkad main…",COIMBATORE,Self-Financing T3
"KIT - Kalaignarkarunanidhi Institute of Technology , S.F.No. 282,…",COIMBATORE,Self-Financing T1
"KGISL Institute of Technology , 365, KGISL Campus, Thudiyalur Roa…",COIMBATORE,Self-Financing T3
"Nandha College of Technology, 235, Chennimalaipalayam Road, Pitch…",ERODE,Self-Financing T3
"PPG Institute of Technology, Rathnagiri Road, Saravanampatti, Coi…",COIMBATORE,Self-Financing T3
"Nehru Institute of Technology , Jawahar Gardens, Kaliapuram, Thir…",COIMBATORE,Self-Financing T3
"JKK Munirajah College of Technology , 377/1A, Punjai Thurayampala…",ERODE,Self-Financing T3
"United Institute of Technology , G.Koundampalayam, Periyanaickenp…",COIMBATORE,Self-Financing T3
"Jansons Institute of Technology , SF.NO.443/1,2, 442/1A & 442/1B …",COIMBATORE,Self-Financing T3
"Akshaya College of Engineering and Technology, SF No.112/1CPT,114…",COIMBATORE,Self-Financing T3
"KPR Institute of Engineering and Technology , SF:204/2 & 204/4, K…",COIMBATORE,Self-Financing T3
"SRG Engineering College, SH-95,Mohanur Road, Aniyapuram, Namakkal…",NAMAKKAL,Self-Financing T3
"Park College of Technology, Prema Ravi Nagar, Karumathampatty, Co…",COIMBATORE,Self-Financing T3
"JCT College of Engineering and Technology , Pichanur, Coimbatore …",COIMBATORE,Self-Financing T3
"Studyworld College of Engineering, Alagu Nachiamman Koil Road, Pa…",COIMBATORE,Self-Financing T3
"C M S College of Engineering and Technology, Appachigoundapathy, …",COIMBATORE,Self-Financing T3
"R V S Technical Campus Coimbatore , Kumaran Kottam Campus, Kannam…",COIMBATORE,Self-Financing T3
"HINDUSTHAN COLLEGE OF ENGINEERING, CHENNIMALAI ROAD, INGUR, PERUN…",ERODE,Self-Financing T3
University College of Engineering Tiruchirappalli (Bharathidasan …,TIRUCHIRAPALLI,University Constituent
University College of Engineering Ariyalur Kathankudikadu Village…,ARIYALUR,University Constituent
University College of Engineering Thirukkuvalai Nagappattinam Dis…,NAGAPATTINAM,University Constituent
University College of Engineering Panruti Chennai-Kumbakonam High…,CUDDALORE,University Constituent
University College of Engineering Pattukkottai ECR Road Rajamadam…,THANJAVUR,University Constituent
"Krishnasamy College of Engineering and Technology, Nellikuppam Ma…",CUDDALORE,Self-Financing T3
"C.K. College of Engineering & Technology, Jayaram Nagar, Chellang…",CUDDALORE,Self-Financing T3
"Sri Ramakrishna College of Engineering, Sri Saradha Nagar, NH - 4…",PERAMBALUR,Self-Financing T3
"KSK College of Engineering and Technology, Thanjavur Main Road, A…",THANJAVUR,Self-Financing T3
"Arifa Institute of Technology, Esanoor, Keelaiyur Post, Tirukkuva…",NAGAPATTINAM,Self-Financing T3
Government College of Engineering Gandarvakottai Road Sengipatti …,THANJAVUR,Government
Government College of Engineering Srirangam Sethurappatti Tiruchi…,TIRUCHIRAPALLI,Government
"Nelliandavar Institute of Technology, Nerunjikorai Village, Pudhu…",ARIYALUR,Self-Financing T3
"SRI VIGNESH COLLEGE OF ENGINEERING AND TECHNOLOGY, TRICHY - CHENN…",TRICHIRAPPALLI,Self-Financing T3
"K Ramakrishnan College of Technology , Kariyamanickam Road, Manna…",TIRUCHIRAPALLI,Self-Financing T3
"Sir Issac Newton College of Engineering and Technology, Andhanape…",NAGAPATTINAM,Self-Financing T3
"Star Lion College of Engineering and Technology, Main Road, Manan…",THANJAVUR,Self-Financing T3
